"PVT","505.840","6.487.252.000","80.000","1.023.877.500","425.840","5.463.374.500","91.053.351","16.65%"
"ITA","331.240","1.837.910.000","24.360","134.990.000","306.880","1.702.920.000","397.597.305","1.41%"
"HCM","440.160","11.240.304.000","201.470","5.139.085.000","238.690","6.101.219.000","158.548.815","48.17%"
"SSI","926.950","19.709.900.000","731.970","15.523.080.000","194.980","4.186.820.000","308.845.182","48.78%"
"PVD","215.100","2.899.900.000","39.120","526.320.000","175.980","2.373.580.000","166.671.399","9.46%"
"VCB","379.660","35.432.400.000","231.490","21.591.410.000","148.170","13.840.990.000","233.901.606","23.69%"
"NT2","204.540","4.847.473.000","161.620","3.832.063.000","42.920","1.015.410.000","86.099.069","19.09%"
"CII","60.150","1.121.980.000","46.500","861.110.000","13.650","260.870.000","116.596.012","28.82%"
"KDC","6.190","236.753.500","170","6.545.000","6.020","230.208.500","193.565.035","24.58%"
"VJC","65.780","7.776.950.000","62.660","7.396.480.000","3.120","380.470.000","61.802.566","18.59%"
"FPT","27.230","1.620.040.000","27.220","1.619.480.000","10","560.000","","49.00%"
"REE","0","0","330","15.380.000","-330","-15.380.000","","49.00%"
"SBT","3.500","66.700.000","6.400","121.650.000","-2.900","-54.950.000","549.704.128","10.00%"
"DPM","313.440","5.631.280.500","340.730","6.069.359.000","-27.290","-438.078.500","141.191.149","12.93%"
"FLC","156.680","688.194.900","192.920","841.088.200","-36.240","-152.893.300","330.758.567","2.41%"
"PPC","23.080","548.603.000","64.990","1.551.476.500","-41.910","-1.002.873.500","109.856.399","15.33%"
"KBC","361.450","5.800.921.000","417.510","6.699.336.500","-56.060","-898.415.500","146.858.784","18.13%"
"BVH","34.880","1.999.862.000","104.410","5.974.204.000","-69.530","-3.974.342.000","152.130.415","28.51%"
"MSN","141.250","12.143.812.000","267.770","22.932.361.000","-126.520","-10.788.549.000","180.022.962","33.67%"
"VNM","417.000","45.711.066.840","633.140","69.295.317.840","-216.140","-23.584.251.000","875.409.189","58.11%"
"VIC","200.530","21.097.242.000","465.090","48.908.509.000","-264.560","-27.811.267.000","770.506.443","13.89%"
"MBB","632.400","13.392.360.000","1.017.220","21.567.524.500","-384.820","-8.175.164.500","411.933","23.01%"
"HHS","103.650","514.181.700","601.650","2.977.622.400","-498.000","-2.463.440.700","125.715.900","3.24%"
"CTG","276.870","9.553.080.000","813.170","28.058.940.000","-536.300","-18.505.860.000","34.605.434","29.07%"
"HPG","1.575.880","60.469.097.130","2.167.270","83.207.977.630","-591.390","-22.738.880.500","523.783.354","33.19%"
"GMD","1.707.080","49.771.762.500","2.856.250","83.345.372.000","-1.149.170","-33.573.609.500","7.435.140","46.50%"
